[I 241226 12:55:42 websocket_listener:48] WebSocket connection opened
[I 241226 12:55:42 websocket_listener:30] Raw WebSocket message: {'subscription_mode': 1, 'exchange_type': 1, 'token': '99926000', 'sequence_number': 0, 'exchange_timestamp': 1735197944000, 'last_traded_price': 2374820, 'subscription_mode_val': 'LTP'}
[I 241226 12:55:47 websocket_listener:30] Raw WebSocket message: {'subscription_mode': 1, 'exchange_type': 1, 'token': '99926000', 'sequence_number': 0, 'exchange_timestamp': 1735197949000, 'last_traded_price': 2374775, 'subscription_mode_val': 'LTP'}
[I 241226 12:55:48 websocket_listener:30] Raw WebSocket message: {'subscription_mode': 1, 'exchange_type': 1, 'token': '99926000', 'sequence_number': 0, 'exchange_timestamp': 1735197950000, 'last_traded_price': 2374680, 'subscription_mode_val': 'LTP'}
[I 241226 12:55:48 websocket_listener:30] Raw WebSocket message: {'subscription_mode': 1, 'exchange_type': 1, 'token': '99926000', 'sequence_number': 0, 'exchange_timestamp': 1735197950000, 'last_traded_price': 2374750, 'subscription_mode_val': 'LTP'}
[I 241226 12:55:49 websocket_listener:30] Raw WebSocket message: {'subscription_mode': 1, 'exchange_type': 1, 'token': '99926000', 'sequence_number': 0, 'exchange_timestamp': 1735197951000, 'last_traded_price': 2374765, 'subscription_mode_val': 'LTP'}
[I 241226 12:55:49 websocket_listener:30] Raw WebSocket message: {'subscription_mode': 1, 'exchange_type': 1, 'token': '99926000', 'sequence_number': 0, 'exchange_timestamp': 1735197951000, 'last_traded_price': 2374885, 'subscription_mode_val': 'LTP'}
[I 241226 12:55:50 websocket_listener:30] Raw WebSocket message: {'subscription_mode': 1, 'exchange_type': 1, 'token': '99926000', 'sequence_number': 0, 'exchange_timestamp': 1735197952000, 'last_traded_price': 2374815, 'subscription_mode_val': 'LTP'}
[I 241226 12:56:30 websocket_listener:48] WebSocket connection opened
[I 241226 12:56:30 websocket_listener:30] Raw WebSocket message: {'subscription_mode': 1, 'exchange_type': 1, 'token': '99926000', 'sequence_number': 0, 'exchange_timestamp': 1735197992000, 'last_traded_price': 2374880, 'subscription_mode_val': 'LTP'}
[I 241226 12:56:31 websocket_listener:30] Raw WebSocket message: {'subscription_mode': 1, 'exchange_type': 1, 'token': '99926000', 'sequence_number': 0, 'exchange_timestamp': 1735197993000, 'last_traded_price': 2374965, 'subscription_mode_val': 'LTP'}
[I 241226 12:56:31 websocket_listener:30] Raw WebSocket message: {'subscription_mode': 1, 'exchange_type': 1, 'token': '99926000', 'sequence_number': 0, 'exchange_timestamp': 1735197993000, 'last_traded_price': 2374915, 'subscription_mode_val': 'LTP'}
[I 241226 12:56:32 websocket_listener:30] Raw WebSocket message: {'subscription_mode': 1, 'exchange_type': 1, 'token': '99926000', 'sequence_number': 0, 'exchange_timestamp': 1735197994000, 'last_traded_price': 2374895, 'subscription_mode_val': 'LTP'}
[I 241226 12:56:32 websocket_listener:30] Raw WebSocket message: {'subscription_mode': 1, 'exchange_type': 1, 'token': '99926000', 'sequence_number': 0, 'exchange_timestamp': 1735197994000, 'last_traded_price': 2374890, 'subscription_mode_val': 'LTP'}
[I 241226 12:56:33 websocket_listener:30] Raw WebSocket message: {'subscription_mode': 1, 'exchange_type': 1, 'token': '99926000', 'sequence_number': 0, 'exchange_timestamp': 1735197995000, 'last_traded_price': 2374825, 'subscription_mode_val': 'LTP'}
[I 241226 12:56:33 websocket_listener:30] Raw WebSocket message: {'subscription_mode': 1, 'exchange_type': 1, 'token': '99926000', 'sequence_number': 0, 'exchange_timestamp': 1735197995000, 'last_traded_price': 2374860, 'subscription_mode_val': 'LTP'}
[I 241226 12:56:34 websocket_listener:30] Raw WebSocket message: {'subscription_mode': 1, 'exchange_type': 1, 'token': '99926000', 'sequence_number': 0, 'exchange_timestamp': 1735197996000, 'last_traded_price': 2374865, 'subscription_mode_val': 'LTP'}
[I 241226 12:56:34 websocket_listener:30] Raw WebSocket message: {'subscription_mode': 1, 'exchange_type': 1, 'token': '99926000', 'sequence_number': 0, 'exchange_timestamp': 1735197996000, 'last_traded_price': 2374825, 'subscription_mode_val': 'LTP'}
[I 241226 12:56:35 websocket_listener:30] Raw WebSocket message: {'subscription_mode': 1, 'exchange_type': 1, 'token': '99926000', 'sequence_number': 0, 'exchange_timestamp': 1735197997000, 'last_traded_price': 2374820, 'subscription_mode_val': 'LTP'}
[I 241226 12:56:35 websocket_listener:30] Raw WebSocket message: {'subscription_mode': 1, 'exchange_type': 1, 'token': '99926000', 'sequence_number': 0, 'exchange_timestamp': 1735197997000, 'last_traded_price': 2374720, 'subscription_mode_val': 'LTP'}
[I 241226 12:56:36 websocket_listener:30] Raw WebSocket message: {'subscription_mode': 1, 'exchange_type': 1, 'token': '99926000', 'sequence_number': 0, 'exchange_timestamp': 1735197998000, 'last_traded_price': 2374790, 'subscription_mode_val': 'LTP'}
[I 241226 12:56:36 websocket_listener:30] Raw WebSocket message: {'subscription_mode': 1, 'exchange_type': 1, 'token': '99926000', 'sequence_number': 0, 'exchange_timestamp': 1735197998000, 'last_traded_price': 2374900, 'subscription_mode_val': 'LTP'}
[I 241226 12:56:37 websocket_listener:30] Raw WebSocket message: {'subscription_mode': 1, 'exchange_type': 1, 'token': '99926000', 'sequence_number': 0, 'exchange_timestamp': 1735197999000, 'last_traded_price': 2374775, 'subscription_mode_val': 'LTP'}
[I 241226 12:56:37 websocket_listener:30] Raw WebSocket message: {'subscription_mode': 1, 'exchange_type': 1, 'token': '99926000', 'sequence_number': 0, 'exchange_timestamp': 1735197999000, 'last_traded_price': 2374805, 'subscription_mode_val': 'LTP'}
[I 241226 12:56:38 websocket_listener:30] Raw WebSocket message: {'subscription_mode': 1, 'exchange_type': 1, 'token': '99926000', 'sequence_number': 0, 'exchange_timestamp': 1735198000000, 'last_traded_price': 2374650, 'subscription_mode_val': 'LTP'}
[I 241226 12:56:38 websocket_listener:30] Raw WebSocket message: {'subscription_mode': 1, 'exchange_type': 1, 'token': '99926000', 'sequence_number': 0, 'exchange_timestamp': 1735198000000, 'last_traded_price': 2374675, 'subscription_mode_val': 'LTP'}
[I 241226 12:56:39 websocket_listener:30] Raw WebSocket message: {'subscription_mode': 1, 'exchange_type': 1, 'token': '99926000', 'sequence_number': 0, 'exchange_timestamp': 1735198001000, 'last_traded_price': 2374825, 'subscription_mode_val': 'LTP'}
[I 241226 12:56:39 websocket_listener:30] Raw WebSocket message: {'subscription_mode': 1, 'exchange_type': 1, 'token': '99926000', 'sequence_number': 0, 'exchange_timestamp': 1735198001000, 'last_traded_price': 2374910, 'subscription_mode_val': 'LTP'}
[I 241226 12:56:40 websocket_listener:30] Raw WebSocket message: {'subscription_mode': 1, 'exchange_type': 1, 'token': '99926000', 'sequence_number': 0, 'exchange_timestamp': 1735198002000, 'last_traded_price': 2374905, 'subscription_mode_val': 'LTP'}
[I 241226 12:56:40 websocket_listener:30] Raw WebSocket message: {'subscription_mode': 1, 'exchange_type': 1, 'token': '99926000', 'sequence_number': 0, 'exchange_timestamp': 1735198002000, 'last_traded_price': 2374950, 'subscription_mode_val': 'LTP'}
[I 241226 12:56:41 websocket_listener:30] Raw WebSocket message: {'subscription_mode': 1, 'exchange_type': 1, 'token': '99926000', 'sequence_number': 0, 'exchange_timestamp': 1735198003000, 'last_traded_price': 2375005, 'subscription_mode_val': 'LTP'}
[I 241226 12:56:41 websocket_listener:30] Raw WebSocket message: {'subscription_mode': 1, 'exchange_type': 1, 'token': '99926000', 'sequence_number': 0, 'exchange_timestamp': 1735198003000, 'last_traded_price': 2374940, 'subscription_mode_val': 'LTP'}
[I 241226 12:56:42 websocket_listener:30] Raw WebSocket message: {'subscription_mode': 1, 'exchange_type': 1, 'token': '99926000', 'sequence_number': 0, 'exchange_timestamp': 1735198004000, 'last_traded_price': 2374965, 'subscription_mode_val': 'LTP'}
[I 241226 12:56:42 websocket_listener:30] Raw WebSocket message: {'subscription_mode': 1, 'exchange_type': 1, 'token': '99926000', 'sequence_number': 0, 'exchange_timestamp': 1735198004000, 'last_traded_price': 2374945, 'subscription_mode_val': 'LTP'}
[I 241226 12:56:43 websocket_listener:30] Raw WebSocket message: {'subscription_mode': 1, 'exchange_type': 1, 'token': '99926000', 'sequence_number': 0, 'exchange_timestamp': 1735198005000, 'last_traded_price': 2374975, 'subscription_mode_val': 'LTP'}
[I 241226 12:56:43 websocket_listener:30] Raw WebSocket message: {'subscription_mode': 1, 'exchange_type': 1, 'token': '99926000', 'sequence_number': 0, 'exchange_timestamp': 1735198005000, 'last_traded_price': 2374960, 'subscription_mode_val': 'LTP'}
[I 241226 12:56:44 websocket_listener:30] Raw WebSocket message: {'subscription_mode': 1, 'exchange_type': 1, 'token': '99926000', 'sequence_number': 0, 'exchange_timestamp': 1735198006000, 'last_traded_price': 2374945, 'subscription_mode_val': 'LTP'}
[I 241226 12:56:44 websocket_listener:30] Raw WebSocket message: {'subscription_mode': 1, 'exchange_type': 1, 'token': '99926000', 'sequence_number': 0, 'exchange_timestamp': 1735198006000, 'last_traded_price': 2374960, 'subscription_mode_val': 'LTP'}
[I 241226 12:56:45 websocket_listener:30] Raw WebSocket message: {'subscription_mode': 1, 'exchange_type': 1, 'token': '99926000', 'sequence_number': 0, 'exchange_timestamp': 1735198007000, 'last_traded_price': 2374900, 'subscription_mode_val': 'LTP'}
[I 241226 12:56:45 websocket_listener:30] Raw WebSocket message: {'subscription_mode': 1, 'exchange_type': 1, 'token': '99926000', 'sequence_number': 0, 'exchange_timestamp': 1735198007000, 'last_traded_price': 2374835, 'subscription_mode_val': 'LTP'}
[I 241226 12:56:46 websocket_listener:30] Raw WebSocket message: {'subscription_mode': 1, 'exchange_type': 1, 'token': '99926000', 'sequence_number': 0, 'exchange_timestamp': 1735198008000, 'last_traded_price': 2374890, 'subscription_mode_val': 'LTP'}
[I 241226 12:56:46 websocket_listener:30] Raw WebSocket message: {'subscription_mode': 1, 'exchange_type': 1, 'token': '99926000', 'sequence_number': 0, 'exchange_timestamp': 1735198008000, 'last_traded_price': 2374865, 'subscription_mode_val': 'LTP'}
[I 241226 12:56:47 websocket_listener:30] Raw WebSocket message: {'subscription_mode': 1, 'exchange_type': 1, 'token': '99926000', 'sequence_number': 0, 'exchange_timestamp': 1735198009000, 'last_traded_price': 2374700, 'subscription_mode_val': 'LTP'}
[I 241226 12:56:47 websocket_listener:30] Raw WebSocket message: {'subscription_mode': 1, 'exchange_type': 1, 'token': '99926000', 'sequence_number': 0, 'exchange_timestamp': 1735198009000, 'last_traded_price': 2374740, 'subscription_mode_val': 'LTP'}
[I 241226 12:56:48 websocket_listener:30] Raw WebSocket message: {'subscription_mode': 1, 'exchange_type': 1, 'token': '99926000', 'sequence_number': 0, 'exchange_timestamp': 1735198010000, 'last_traded_price': 2374680, 'subscription_mode_val': 'LTP'}
[I 241226 12:56:48 websocket_listener:30] Raw WebSocket message: {'subscription_mode': 1, 'exchange_type': 1, 'token': '99926000', 'sequence_number': 0, 'exchange_timestamp': 1735198010000, 'last_traded_price': 2374765, 'subscription_mode_val': 'LTP'}
[I 241226 12:56:49 websocket_listener:30] Raw WebSocket message: {'subscription_mode': 1, 'exchange_type': 1, 'token': '99926000', 'sequence_number': 0, 'exchange_timestamp': 1735198011000, 'last_traded_price': 2374745, 'subscription_mode_val': 'LTP'}
[I 241226 12:56:49 websocket_listener:30] Raw WebSocket message: {'subscription_mode': 1, 'exchange_type': 1, 'token': '99926000', 'sequence_number': 0, 'exchange_timestamp': 1735198011000, 'last_traded_price': 2374965, 'subscription_mode_val': 'LTP'}
[I 241226 12:56:50 websocket_listener:30] Raw WebSocket message: {'subscription_mode': 1, 'exchange_type': 1, 'token': '99926000', 'sequence_number': 0, 'exchange_timestamp': 1735198012000, 'last_traded_price': 2375000, 'subscription_mode_val': 'LTP'}
[I 241226 12:56:50 websocket_listener:30] Raw WebSocket message: {'subscription_mode': 1, 'exchange_type': 1, 'token': '99926000', 'sequence_number': 0, 'exchange_timestamp': 1735198012000, 'last_traded_price': 2375015, 'subscription_mode_val': 'LTP'}
[I 241226 12:56:51 websocket_listener:30] Raw WebSocket message: {'subscription_mode': 1, 'exchange_type': 1, 'token': '99926000', 'sequence_number': 0, 'exchange_timestamp': 1735198013000, 'last_traded_price': 2374990, 'subscription_mode_val': 'LTP'}
[I 241226 12:56:51 websocket_listener:30] Raw WebSocket message: {'subscription_mode': 1, 'exchange_type': 1, 'token': '99926000', 'sequence_number': 0, 'exchange_timestamp': 1735198013000, 'last_traded_price': 2374940, 'subscription_mode_val': 'LTP'}
[I 241226 12:56:52 websocket_listener:30] Raw WebSocket message: {'subscription_mode': 1, 'exchange_type': 1, 'token': '99926000', 'sequence_number': 0, 'exchange_timestamp': 1735198014000, 'last_traded_price': 2374915, 'subscription_mode_val': 'LTP'}
[I 241226 12:56:52 websocket_listener:30] Raw WebSocket message: {'subscription_mode': 1, 'exchange_type': 1, 'token': '99926000', 'sequence_number': 0, 'exchange_timestamp': 1735198014000, 'last_traded_price': 2374965, 'subscription_mode_val': 'LTP'}
[I 241226 12:56:53 websocket_listener:30] Raw WebSocket message: {'subscription_mode': 1, 'exchange_type': 1, 'token': '99926000', 'sequence_number': 0, 'exchange_timestamp': 1735198015000, 'last_traded_price': 2374935, 'subscription_mode_val': 'LTP'}
[I 241226 12:56:53 websocket_listener:30] Raw WebSocket message: {'subscription_mode': 1, 'exchange_type': 1, 'token': '99926000', 'sequence_number': 0, 'exchange_timestamp': 1735198015000, 'last_traded_price': 2374875, 'subscription_mode_val': 'LTP'}
[I 241226 12:56:54 websocket_listener:30] Raw WebSocket message: {'subscription_mode': 1, 'exchange_type': 1, 'token': '99926000', 'sequence_number': 0, 'exchange_timestamp': 1735198016000, 'last_traded_price': 2375030, 'subscription_mode_val': 'LTP'}
[I 241226 12:56:54 websocket_listener:30] Raw WebSocket message: {'subscription_mode': 1, 'exchange_type': 1, 'token': '99926000', 'sequence_number': 0, 'exchange_timestamp': 1735198016000, 'last_traded_price': 2375060, 'subscription_mode_val': 'LTP'}
[I 241226 12:56:55 websocket_listener:30] Raw WebSocket message: {'subscription_mode': 1, 'exchange_type': 1, 'token': '99926000', 'sequence_number': 0, 'exchange_timestamp': 1735198017000, 'last_traded_price': 2374935, 'subscription_mode_val': 'LTP'}
[I 241226 12:56:55 websocket_listener:30] Raw WebSocket message: {'subscription_mode': 1, 'exchange_type': 1, 'token': '99926000', 'sequence_number': 0, 'exchange_timestamp': 1735198017000, 'last_traded_price': 2374960, 'subscription_mode_val': 'LTP'}
[I 241226 12:56:56 websocket_listener:30] Raw WebSocket message: {'subscription_mode': 1, 'exchange_type': 1, 'token': '99926000', 'sequence_number': 0, 'exchange_timestamp': 1735198018000, 'last_traded_price': 2375070, 'subscription_mode_val': 'LTP'}
[I 241226 12:56:56 websocket_listener:30] Raw WebSocket message: {'subscription_mode': 1, 'exchange_type': 1, 'token': '99926000', 'sequence_number': 0, 'exchange_timestamp': 1735198018000, 'last_traded_price': 2374955, 'subscription_mode_val': 'LTP'}
[I 241226 12:56:57 websocket_listener:30] Raw WebSocket message: {'subscription_mode': 1, 'exchange_type': 1, 'token': '99926000', 'sequence_number': 0, 'exchange_timestamp': 1735198019000, 'last_traded_price': 2374930, 'subscription_mode_val': 'LTP'}
[I 241226 12:56:57 websocket_listener:30] Raw WebSocket message: {'subscription_mode': 1, 'exchange_type': 1, 'token': '99926000', 'sequence_number': 0, 'exchange_timestamp': 1735198019000, 'last_traded_price': 2374970, 'subscription_mode_val': 'LTP'}
[I 241226 12:56:58 websocket_listener:30] Raw WebSocket message: {'subscription_mode': 1, 'exchange_type': 1, 'token': '99926000', 'sequence_number': 0, 'exchange_timestamp': 1735198020000, 'last_traded_price': 2374935, 'subscription_mode_val': 'LTP'}
[I 241226 12:56:58 websocket_listener:30] Raw WebSocket message: {'subscription_mode': 1, 'exchange_type': 1, 'token': '99926000', 'sequence_number': 0, 'exchange_timestamp': 1735198020000, 'last_traded_price': 2375000, 'subscription_mode_val': 'LTP'}
[I 241226 12:56:59 websocket_listener:30] Raw WebSocket message: {'subscription_mode': 1, 'exchange_type': 1, 'token': '99926000', 'sequence_number': 0, 'exchange_timestamp': 1735198021000, 'last_traded_price': 2374690, 'subscription_mode_val': 'LTP'}
[I 241226 12:56:59 websocket_listener:30] Raw WebSocket message: {'subscription_mode': 1, 'exchange_type': 1, 'token': '99926000', 'sequence_number': 0, 'exchange_timestamp': 1735198021000, 'last_traded_price': 2375020, 'subscription_mode_val': 'LTP'}
[I 241226 12:57:00 websocket_listener:30] Raw WebSocket message: {'subscription_mode': 1, 'exchange_type': 1, 'token': '99926000', 'sequence_number': 0, 'exchange_timestamp': 1735198022000, 'last_traded_price': 2374995, 'subscription_mode_val': 'LTP'}
[I 241226 12:57:00 websocket_listener:30] Raw WebSocket message: {'subscription_mode': 1, 'exchange_type': 1, 'token': '99926000', 'sequence_number': 0, 'exchange_timestamp': 1735198022000, 'last_traded_price': 2375140, 'subscription_mode_val': 'LTP'}
[I 241226 12:57:01 websocket_listener:30] Raw WebSocket message: {'subscription_mode': 1, 'exchange_type': 1, 'token': '99926000', 'sequence_number': 0, 'exchange_timestamp': 1735198023000, 'last_traded_price': 2375155, 'subscription_mode_val': 'LTP'}
[I 241226 12:57:01 websocket_listener:30] Raw WebSocket message: {'subscription_mode': 1, 'exchange_type': 1, 'token': '99926000', 'sequence_number': 0, 'exchange_timestamp': 1735198023000, 'last_traded_price': 2375145, 'subscription_mode_val': 'LTP'}
[I 241226 12:57:02 websocket_listener:30] Raw WebSocket message: {'subscription_mode': 1, 'exchange_type': 1, 'token': '99926000', 'sequence_number': 0, 'exchange_timestamp': 1735198024000, 'last_traded_price': 2375125, 'subscription_mode_val': 'LTP'}
[I 241226 12:57:02 websocket_listener:30] Raw WebSocket message: {'subscription_mode': 1, 'exchange_type': 1, 'token': '99926000', 'sequence_number': 0, 'exchange_timestamp': 1735198024000, 'last_traded_price': 2374995, 'subscription_mode_val': 'LTP'}
[I 241226 12:57:03 websocket_listener:30] Raw WebSocket message: {'subscription_mode': 1, 'exchange_type': 1, 'token': '99926000', 'sequence_number': 0, 'exchange_timestamp': 1735198025000, 'last_traded_price': 2374990, 'subscription_mode_val': 'LTP'}
[I 241226 12:57:03 websocket_listener:30] Raw WebSocket message: {'subscription_mode': 1, 'exchange_type': 1, 'token': '99926000', 'sequence_number': 0, 'exchange_timestamp': 1735198025000, 'last_traded_price': 2374940, 'subscription_mode_val': 'LTP'}
[I 241226 12:57:04 websocket_listener:30] Raw WebSocket message: {'subscription_mode': 1, 'exchange_type': 1, 'token': '99926000', 'sequence_number': 0, 'exchange_timestamp': 1735198026000, 'last_traded_price': 2374945, 'subscription_mode_val': 'LTP'}
[I 241226 12:57:04 websocket_listener:30] Raw WebSocket message: {'subscription_mode': 1, 'exchange_type': 1, 'token': '99926000', 'sequence_number': 0, 'exchange_timestamp': 1735198026000, 'last_traded_price': 2374965, 'subscription_mode_val': 'LTP'}
[I 241226 12:57:05 websocket_listener:30] Raw WebSocket message: {'subscription_mode': 1, 'exchange_type': 1, 'token': '99926000', 'sequence_number': 0, 'exchange_timestamp': 1735198027000, 'last_traded_price': 2374860, 'subscription_mode_val': 'LTP'}
[I 241226 12:57:05 websocket_listener:30] Raw WebSocket message: {'subscription_mode': 1, 'exchange_type': 1, 'token': '99926000', 'sequence_number': 0, 'exchange_timestamp': 1735198027000, 'last_traded_price': 2374820, 'subscription_mode_val': 'LTP'}
[I 241226 12:57:06 websocket_listener:30] Raw WebSocket message: {'subscription_mode': 1, 'exchange_type': 1, 'token': '99926000', 'sequence_number': 0, 'exchange_timestamp': 1735198028000, 'last_traded_price': 2374860, 'subscription_mode_val': 'LTP'}
[I 241226 12:57:06 websocket_listener:30] Raw WebSocket message: {'subscription_mode': 1, 'exchange_type': 1, 'token': '99926000', 'sequence_number': 0, 'exchange_timestamp': 1735198028000, 'last_traded_price': 2374815, 'subscription_mode_val': 'LTP'}
[I 241226 12:57:07 websocket_listener:30] Raw WebSocket message: {'subscription_mode': 1, 'exchange_type': 1, 'token': '99926000', 'sequence_number': 0, 'exchange_timestamp': 1735198029000, 'last_traded_price': 2374705, 'subscription_mode_val': 'LTP'}
[I 241226 12:57:07 websocket_listener:30] Raw WebSocket message: {'subscription_mode': 1, 'exchange_type': 1, 'token': '99926000', 'sequence_number': 0, 'exchange_timestamp': 1735198029000, 'last_traded_price': 2374855, 'subscription_mode_val': 'LTP'}
[I 241226 12:57:08 websocket_listener:30] Raw WebSocket message: {'subscription_mode': 1, 'exchange_type': 1, 'token': '99926000', 'sequence_number': 0, 'exchange_timestamp': 1735198030000, 'last_traded_price': 2374730, 'subscription_mode_val': 'LTP'}
[I 241226 12:57:08 websocket_listener:30] Raw WebSocket message: {'subscription_mode': 1, 'exchange_type': 1, 'token': '99926000', 'sequence_number': 0, 'exchange_timestamp': 1735198030000, 'last_traded_price': 2374855, 'subscription_mode_val': 'LTP'}
[I 241226 12:57:09 websocket_listener:30] Raw WebSocket message: {'subscription_mode': 1, 'exchange_type': 1, 'token': '99926000', 'sequence_number': 0, 'exchange_timestamp': 1735198031000, 'last_traded_price': 2374870, 'subscription_mode_val': 'LTP'}
[I 241226 12:57:09 websocket_listener:30] Raw WebSocket message: {'subscription_mode': 1, 'exchange_type': 1, 'token': '99926000', 'sequence_number': 0, 'exchange_timestamp': 1735198031000, 'last_traded_price': 2374995, 'subscription_mode_val': 'LTP'}
[I 241226 12:57:10 websocket_listener:30] Raw WebSocket message: {'subscription_mode': 1, 'exchange_type': 1, 'token': '99926000', 'sequence_number': 0, 'exchange_timestamp': 1735198032000, 'last_traded_price': 2374960, 'subscription_mode_val': 'LTP'}
[I 241226 12:57:10 websocket_listener:30] Raw WebSocket message: {'subscription_mode': 1, 'exchange_type': 1, 'token': '99926000', 'sequence_number': 0, 'exchange_timestamp': 1735198032000, 'last_traded_price': 2375045, 'subscription_mode_val': 'LTP'}
[I 241226 12:57:11 websocket_listener:30] Raw WebSocket message: {'subscription_mode': 1, 'exchange_type': 1, 'token': '99926000', 'sequence_number': 0, 'exchange_timestamp': 1735198033000, 'last_traded_price': 2375160, 'subscription_mode_val': 'LTP'}
[I 241226 12:57:11 websocket_listener:30] Raw WebSocket message: {'subscription_mode': 1, 'exchange_type': 1, 'token': '99926000', 'sequence_number': 0, 'exchange_timestamp': 1735198033000, 'last_traded_price': 2375140, 'subscription_mode_val': 'LTP'}
[I 241226 12:57:12 websocket_listener:30] Raw WebSocket message: {'subscription_mode': 1, 'exchange_type': 1, 'token': '99926000', 'sequence_number': 0, 'exchange_timestamp': 1735198034000, 'last_traded_price': 2375130, 'subscription_mode_val': 'LTP'}
[I 241226 12:57:12 websocket_listener:30] Raw WebSocket message: {'subscription_mode': 1, 'exchange_type': 1, 'token': '99926000', 'sequence_number': 0, 'exchange_timestamp': 1735198034000, 'last_traded_price': 2375140, 'subscription_mode_val': 'LTP'}
[I 241226 12:57:13 websocket_listener:30] Raw WebSocket message: {'subscription_mode': 1, 'exchange_type': 1, 'token': '99926000', 'sequence_number': 0, 'exchange_timestamp': 1735198035000, 'last_traded_price': 2375140, 'subscription_mode_val': 'LTP'}
[I 241226 12:57:13 websocket_listener:30] Raw WebSocket message: {'subscription_mode': 1, 'exchange_type': 1, 'token': '99926000', 'sequence_number': 0, 'exchange_timestamp': 1735198035000, 'last_traded_price': 2375125, 'subscription_mode_val': 'LTP'}
[I 241226 12:57:14 websocket_listener:30] Raw WebSocket message: {'subscription_mode': 1, 'exchange_type': 1, 'token': '99926000', 'sequence_number': 0, 'exchange_timestamp': 1735198036000, 'last_traded_price': 2375140, 'subscription_mode_val': 'LTP'}
[I 241226 12:57:14 websocket_listener:30] Raw WebSocket message: {'subscription_mode': 1, 'exchange_type': 1, 'token': '99926000', 'sequence_number': 0, 'exchange_timestamp': 1735198036000, 'last_traded_price': 2375195, 'subscription_mode_val': 'LTP'}
[I 241226 12:57:15 websocket_listener:30] Raw WebSocket message: {'subscription_mode': 1, 'exchange_type': 1, 'token': '99926000', 'sequence_number': 0, 'exchange_timestamp': 1735198037000, 'last_traded_price': 2375155, 'subscription_mode_val': 'LTP'}
[I 241226 12:57:15 websocket_listener:30] Raw WebSocket message: {'subscription_mode': 1, 'exchange_type': 1, 'token': '99926000', 'sequence_number': 0, 'exchange_timestamp': 1735198037000, 'last_traded_price': 2375250, 'subscription_mode_val': 'LTP'}
[I 241226 12:57:16 websocket_listener:30] Raw WebSocket message: {'subscription_mode': 1, 'exchange_type': 1, 'token': '99926000', 'sequence_number': 0, 'exchange_timestamp': 1735198038000, 'last_traded_price': 2375215, 'subscription_mode_val': 'LTP'}
[I 241226 12:57:16 websocket_listener:30] Raw WebSocket message: {'subscription_mode': 1, 'exchange_type': 1, 'token': '99926000', 'sequence_number': 0, 'exchange_timestamp': 1735198038000, 'last_traded_price': 2375240, 'subscription_mode_val': 'LTP'}
